,age,date,district,city,perpetrator_en_new,excuses_cat
357,39.0,14/09/2016,Kemer, Antalya,ex-partner,Separation & Jealousy
358,30.0,12/9/2016,Siverek, Şanlıurfa,partner,Separation & Jealousy
359,29.0,9/9/2016,Gaziemir, İzmir,boyfriend,Other
360,,8/9/2016,Elbistan, Kahramanmaraş,partner,Other
361,34.0,4/9/2016,Yenişehir, Mersin,brother,Separation & Jealousy
362,60.0,2/9/2016,Enez, Edirne,known man,Fight
363,39.0,30/08/2016,Melikgazi, Kayseri,partner,Separation & Jealousy
364,24.0,30/08/2016,Yenişehir, Diyarbakır,partner,Unknown
365,26.0,28/08/2016,Merkez, Denizli,partner,Other
366,20.0,28/08/2016,Muratpaşa, Antalya,partner,Unknown
367,39.0,25/08/2016,Merkez, Karaman,partner,Separation & Jealousy
368,55.0,20/08/2016,Kepez, Antalya,ex-partner,Unknown
369,66.0,18/08/2016,Merkez, Çorum,partner,Unknown
370,33.0,17/08/2016,Merkez, Trabzon,brother,Other
371,64.0,17/08/2016,Şahinbey, Gaziantep,partner,Other
372,22.0,16/08/2016,Kepez, Antalya,known man,Other
373,26.0,16/08/2016,Tatvan, Bitlis,partner,Unknown
374,46.0,15/08/2016,Turgutlu, Manisa,partner,Other
375,30.0,13/08/2016,Selçuklu, Konya,father,Other
376,,12/8/2016,Kadınhanı, Konya,partner,Separation & Jealousy
377,23.0,12/8/2016,Sarıyer, Istanbul,attacker,Woman Decision and Preferences
378,25.0,11/8/2016,Alaşehir, Manisa,partner,Separation & Jealousy
379,26.0,7/8/2016,Muğla,,partner,Masculinity&Honor
380,17.0,5/8/2016,Odunpazarı, Eskişehir,attacker,Sexual expectation
381,42.0,4/8/2016,Ereğli, Konya,partner,Unknown
382,6.0,4/8/2016,Ereğli, Konya,father,Unknown
383,73.0,3/8/2016,Kaynaşlı, Düzce,son,Other
384,45.0,3/8/2016,Kaynaşlı, Düzce,brother,Other
385,17.0,3/8/2016,Merkez, Batman,brother,Woman Decision and Preferences
386,45.0,23/07/2016,Merkez, Burdur,brother,Other
387,35.0,23/07/2016,Başkale, Van,partner,Woman Decision and Preferences
388,,18/07/2016,Savur, Mardin,partner,Other
389,,18/07/2016,Savur, Mardin,relative,Other
390,88.0,17/07/2016,Hilvan, Şanlıurfa,partner,Unknown
391,54.0,14/07/2016,Merkez, Bayburt,known man,Unknown
392,41.0,13/07/2016,Sarıveliler, Karaman,partner,Fight
393,32.0,12/7/2016,Mamak, Ankara,partner,Unknown
394,25.0,12/7/2016,Buca, İzmir,boyfriend,Unknown
395,50.0,12/7/2016,Merkez, Kırıkkale,partner,Other
396,5.0,11/7/2016,Gündoğmuş, Antalya,relative,Other
397,31.0,11/7/2016,Bünyan, Kayseri,partner,Other
398,45.0,11/7/2016,Gündoğmuş, Antalya,partner,Fight
399,39.0,10/7/2016,Gemlik, Bursa,known man,Separation & Jealousy
400,30.0,9/7/2016,Seyhan, Adana,partner,Other
401,45.0,7/7/2016,Merkez, Giresun,ex-partner,Unknown
